id,title,artist_channel,language,era,popularity,views,likes,duration_seconds,duration,published_at,youtube_video_id,youtube_url
349,Jo Tu Na Mila - Acoustic Version | Asim Azhar,Universal Music India,English/International,2010s,Very Popular,49417099,686917,245,4:05,2019-02-14T08:30:03Z,wPqpmsYISBc,https://www.youtube.com/watch?v=wPqpmsYISBc
350,Maand (Acoustic),Bayaan - Topic,English/International,2020s,Medium,772834,10223,261,4:21,2026-05-21T18:30:10Z,EARCQwChOA0,https://www.youtube.com/watch?v=EARCQwChOA0
351,Ye Tune Kya Kiya | Jazz Soulful Acoustic,Stoneboymusic,English/International,2020s,Popular,3910217,18011,360,6:00,2025-08-23T20:55:45Z,l2u8Plq4XCk,https://www.youtube.com/watch?v=l2u8Plq4XCk
352,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain - Topic,English/International,2020s,Very Popular,74842108,638297,295,4:55,2025-08-19T10:03:04Z,-BJt4fCAtZE,https://www.youtube.com/watch?v=-BJt4fCAtZE
353,Kasoor (Acoustic) - Prateek Kuhad | Official Lyric Video 🌻✨,Prateek Kuhad,English/International,2020s,Very Popular,32511050,288506,213,3:33,2021-07-09T16:00:12Z,iOIF74Hk80A,https://www.youtube.com/watch?v=iOIF74Hk80A
354,Anuv Jain - BAARISHEIN (ACOUSTIC),Anuv Jain,English/International,2020s,Very Popular,36837725,410500,215,3:35,2023-07-13T14:30:10Z,NLKwRW2y-sg,https://www.youtube.com/watch?v=NLKwRW2y-sg
355,MITRAZ - Akhiyaan Acoustic (Official Music Video),MITRAZ,English/International,2020s,Popular,1711116,55191,162,2:42,2023-10-19T12:21:53Z,sI3-Z8yytEw,https://www.youtube.com/watch?v=sI3-Z8yytEw
356,Twin Strings Originals - Baat Itni Si Hai (Unplugged),Twin Strings,English/International,2020s,Very Popular,9349242,102067,230,3:50,2023-02-22T09:36:17Z,RuLnMn-S7yg,https://www.youtube.com/watch?v=RuLnMn-S7yg
357,Anuv Jain - Alag Aasmaan (Acoustic),Anuv Jain,English/International,2020s,Very Popular,10933001,264356,225,3:45,2021-11-19T09:30:13Z,J3m3uptDf0Q,https://www.youtube.com/watch?v=J3m3uptDf0Q
358,"MEHFIL | ""Dil Luteya"" (Live Acoustic)",PALLI presents,English/International,2020s,Popular,1335977,10903,161,2:41,2025-01-10T20:00:32Z,iFEAHzKIpS8,https://www.youtube.com/watch?v=iFEAHzKIpS8
359,SANAM - Ek Ladki Ko Dekha - Acoustic,Sanam,English/International,2010s,Very Popular,61874505,701862,243,4:03,2014-08-25T06:17:11Z,XKbiIahG6ok,https://www.youtube.com/watch?v=XKbiIahG6ok
360,Khat,Navjot Ahuja - Topic,English/International,2020s,Very Popular,46931352,526817,297,4:57,2025-12-02T10:04:36Z,KrJ5c-Egz-U,https://www.youtube.com/watch?v=KrJ5c-Egz-U
361,Bollywood's Retro Espresso | Staccato | Freshly Brewed,Staccato - Contemporary Classic,Hindi,2020s,Very Popular,11227987,60417,427,7:07,2020-12-05T14:18:36Z,WsmBJOb-hWU,https://www.youtube.com/watch?v=WsmBJOb-hWU
362,Kaise Hua | Unplugged | Vishal Mishra | Kabir Singh | Main Baarish Ki Boli Samajhta Nahi Tha,Mmm Unplugged,English/International,2020s,Popular,2488043,19002,302,5:02,2022-03-16T07:22:36Z,deDSjlkt6Q0,https://www.youtube.com/watch?v=deDSjlkt6Q0
363,Tera Ghata (Acoustic) – Gajendra Verma | Official Video 2025,Gajendra Verma,English/International,2020s,Medium,216367,7655,152,2:32,2025-10-31T08:30:07Z,gvwgw_QgxIg,https://www.youtube.com/watch?v=gvwgw_QgxIg
364,Barbaad - Acoustic (Female Version),Shilpa Rao - Topic,English/International,2020s,Popular,2483900,17232,117,1:57,2025-07-07T12:58:44Z,Pe304DEZfwQ,https://www.youtube.com/watch?v=Pe304DEZfwQ
365,SANAM - Duaa #Acoustic - Ft. Sanah Moidutty,Sanam,English/International,2010s,Very Popular,43942908,409204,209,3:29,2014-01-06T07:56:25Z,GGErfAmSK9I,https://www.youtube.com/watch?v=GGErfAmSK9I
